,open_interest
2024-11-11 22:40:00,1843748.0
2024-11-11 22:45:00,1843158.0
2024-11-11 22:50:00,1840966.0
2024-11-11 22:55:00,1836236.0
2024-11-11 23:00:00,1832751.0
2024-11-12 09:00:00,1828804.0
2024-11-12 09:05:00,1829451.0
2024-11-12 09:10:00,1833896.0
2024-11-12 09:15:00,1834295.0
2024-11-12 09:20:00,1834396.0
2024-11-12 09:25:00,1835304.0
2024-11-12 09:30:00,1837355.0
2024-11-12 09:35:00,1837888.0
2024-11-12 09:40:00,1838358.0
2024-11-12 09:45:00,1832937.0
2024-11-12 09:50:00,1833687.0
2024-11-12 09:55:00,1834506.0
2024-11-12 10:00:00,1839022.0
2024-11-12 10:05:00,1844690.0
2024-11-12 10:10:00,1847541.0
2024-11-12 10:15:00,1847391.0
2024-11-12 10:30:00,1848794.0
2024-11-12 10:35:00,1850657.0
2024-11-12 10:40:00,1854716.0
2024-11-12 10:45:00,1856799.0
2024-11-12 10:50:00,1858427.0
2024-11-12 10:55:00,1858656.0
2024-11-12 11:00:00,1852166.0
2024-11-12 11:05:00,1850013.0
2024-11-12 11:10:00,1850741.0
2024-11-12 11:15:00,1851911.0
2024-11-12 11:20:00,1851899.0
2024-11-12 11:25:00,1849050.0
2024-11-12 11:30:00,1847470.0
2024-11-12 13:30:00,1854115.0
2024-11-12 13:35:00,1853730.0
2024-11-12 13:40:00,1853563.0
2024-11-12 13:45:00,1857231.0
2024-11-12 13:50:00,1856518.0
2024-11-12 13:55:00,1855142.0
2024-11-12 14:00:00,1853149.0
2024-11-12 14:05:00,1852562.0
2024-11-12 14:10:00,1854071.0
2024-11-12 14:15:00,1854853.0
2024-11-12 14:20:00,1856737.0
2024-11-12 14:25:00,1847300.0
2024-11-12 14:30:00,1846672.0
2024-11-12 14:35:00,1845970.0
2024-11-12 14:40:00,1844326.0
2024-11-12 14:45:00,1835089.0
2024-11-12 14:50:00,1830604.0
2024-11-12 14:55:00,1818873.0
2024-11-12 15:00:00,1817779.0
2024-11-12 21:00:00,1817251.0
2024-11-12 21:05:00,1818895.0
2024-11-12 21:10:00,1820804.0
2024-11-12 21:15:00,1822799.0
2024-11-12 21:20:00,1824203.0
2024-11-12 21:25:00,1822628.0
2024-11-12 21:30:00,1817785.0
2024-11-12 21:35:00,1818370.0
2024-11-12 21:40:00,1818527.0
2024-11-12 21:45:00,1818568.0
2024-11-12 21:50:00,1817752.0
2024-11-12 21:55:00,1818079.0
2024-11-12 22:00:00,1820259.0
2024-11-12 22:05:00,1821250.0
2024-11-12 22:10:00,1820408.0
2024-11-12 22:15:00,1821857.0
2024-11-12 22:20:00,1821393.0
2024-11-12 22:25:00,1821921.0
2024-11-12 22:30:00,1821156.0
2024-11-12 22:35:00,1820884.0
2024-11-12 22:40:00,1820516.0
2024-11-12 22:45:00,1820045.0
2024-11-12 22:50:00,1817846.0
2024-11-12 22:55:00,1809355.0
2024-11-12 23:00:00,1808025.0
2024-11-13 09:00:00,1800331.0
2024-11-13 09:05:00,1802445.0
2024-11-13 09:10:00,1804314.0
2024-11-13 09:15:00,1802641.0
2024-11-13 09:20:00,1802757.0
2024-11-13 09:25:00,1803068.0
2024-11-13 09:30:00,1805021.0
2024-11-13 09:35:00,1805709.0
2024-11-13 09:40:00,1805073.0
2024-11-13 09:45:00,1806590.0
2024-11-13 09:50:00,1806462.0
2024-11-13 09:55:00,1807566.0
2024-11-13 10:00:00,1806293.0
2024-11-13 10:05:00,1809121.0
2024-11-13 10:10:00,1808159.0
2024-11-13 10:15:00,1809367.0
2024-11-13 10:30:00,1805036.0
2024-11-13 10:35:00,1801481.0
2024-11-13 10:40:00,1801309.0
2024-11-13 10:45:00,1804766.0
2024-11-13 10:50:00,1804516.0
2024-11-13 10:55:00,1805534.0
2024-11-13 11:00:00,1803854.0
2024-11-13 11:05:00,1803139.0
2024-11-13 11:10:00,1801879.0
2024-11-13 11:15:00,1799567.0
2024-11-13 11:20:00,1794657.0
2024-11-13 11:25:00,1796153.0
2024-11-13 11:30:00,1794881.0
2024-11-13 13:30:00,1795791.0
2024-11-13 13:35:00,1798902.0
2024-11-13 13:40:00,1798297.0
2024-11-13 13:45:00,1796774.0
2024-11-13 13:50:00,1795271.0
2024-11-13 13:55:00,1798123.0
2024-11-13 14:00:00,1796275.0
2024-11-13 14:05:00,1796577.0
2024-11-13 14:10:00,1797779.0
2024-11-13 14:15:00,1792882.0
2024-11-13 14:20:00,1787301.0
2024-11-13 14:25:00,1782268.0
2024-11-13 14:30:00,1774321.0
2024-11-13 14:35:00,1775384.0
2024-11-13 14:40:00,1773161.0
2024-11-13 14:45:00,1773519.0
2024-11-13 14:50:00,1771954.0
2024-11-13 14:55:00,1766858.0
2024-11-13 15:00:00,1761405.0
2024-11-13 21:00:00,1763973.0
2024-11-13 21:05:00,1765767.0
2024-11-13 21:10:00,1765861.0
2024-11-13 21:15:00,1768011.0
2024-11-13 21:20:00,1768070.0
2024-11-13 21:25:00,1769127.0
2024-11-13 21:30:00,1771563.0
2024-11-13 21:35:00,1772831.0
2024-11-13 21:40:00,1774123.0
2024-11-13 21:45:00,1776496.0
2024-11-13 21:50:00,1776902.0
2024-11-13 21:55:00,1776108.0
2024-11-13 22:00:00,1775784.0
2024-11-13 22:05:00,1775048.0
2024-11-13 22:10:00,1774049.0
2024-11-13 22:15:00,1774372.0
2024-11-13 22:20:00,1772125.0
2024-11-13 22:25:00,1772716.0
