trial_number,score,pivot_len,msb_zscore,atr_period,atr_multiplier,tp1_multiplier,tp2_multiplier,tp3_multiplier,total_trades,win_rate,avg_win,avg_loss,profit_loss_ratio,cumulative_return,max_drawdown,sharpe_ratio
37,5.644455945518317,6,0.6343926358858721,12,1.9970984184555396,0.30590356833672433,1.2095608306215127,2.099087284896795,169,75.7396449704142,0.0021196080753025535,-0.0019764703304116717,1.0724208922787464,0.22885082911737276,0.030429001911035102,2.128236687531212
38,3.4348019561364853,5,0.7071783189293346,20,1.2990487268145903,0.8680979086851484,1.0642591888519353,2.4974012520781805,173,78.61271676300578,0.0032350393274083065,-0.007119676866119805,0.45438007766936617,0.21494112661323728,0.061856862028306515,1.420951246684482
39,6.605337617720873,6,0.48966737885825734,18,1.384823367286936,0.7887766337494535,1.3693582581455839,1.7796104801070145,167,81.437125748503,0.0030436173374925705,-0.005907463991187556,0.5152155547681507,0.28992104854117406,0.03369251075476799,2.002768083300435
40,6.766788510624893,7,0.4356691389811911,13,1.4559369793585923,0.9640106462575779,1.215720744999672,1.5582094998741467,151,81.45695364238411,0.0032909777845484644,-0.0059054950747543244,0.5572738175021462,0.296381839691219,0.030429001911034603,2.054140632665514
41,8.077938085750013,6,0.6030788223882712,12,1.902344648205506,0.9561032815961206,1.1698766498956743,1.8506599872915837,162,83.33333333333334,0.0034493674773423823,-0.006467907028925447,0.533305049363928,0.3596038472039216,0.03042900191103511,2.2417970730867003
42,8.018281535308422,6,0.6218959983452257,12,1.9379000481555269,0.9977875357706276,1.2682787025023043,1.8172531295241032,162,83.33333333333334,0.0034493674773423823,-0.0065481896236589095,0.5267665836798097,0.35699224767156257,0.030429001911034596,2.2257664946841538
43,7.066112141258461,6,0.6803464204048223,11,1.1854071259681103,0.8938017030378984,1.1915107883714975,1.9707687267753757,162,81.48148148148148,0.0033264055879486405,-0.006111882685194007,0.5442521984276358,0.3113369083029627,0.0323997220290797,2.0722436527605113
44,8.307592332673702,6,0.5641592313313837,15,1.7987755358627064,0.9473026734763486,1.1258311838042896,1.6751705033925157,162,84.5679012345679,0.003435683937196043,-0.0062854681893761725,0.546607481524305,0.3699741315486347,0.03042900191103476,2.29822236363762
45,4.597999941985318,5,0.5768796814070313,15,1.7987251560022504,0.9324852908096033,1.1190525203647124,1.7034686099555305,175,81.71428571428572,0.00337800986154849,-0.007250626099018135,0.46589216095502883,0.29241708037857217,0.060789362625134166,1.7795762457995223
46,7.271048624296073,7,0.5554951222969208,16,1.756261054030221,0.8537008544020015,1.0122706991524604,1.6321554431473522,149,83.22147651006712,0.0031045953808711553,-0.005083838918132987,0.6106793371831107,0.3171356927134654,0.03042900191103542,2.280210117178399
47,7.864604418244642,6,0.4854202025888495,14,1.6801048537002006,0.8991098789543026,1.0737928089160365,1.4354259469679596,165,83.03030303030303,0.0033906775515238153,-0.006455513673552044,0.5252374517329693,0.3496845398781523,0.03042900191103495,2.2027287999613603
48,7.168035616455522,6,0.5393564798720824,17,1.6430941139716526,0.7596803595111702,1.3126816411239068,1.9221241448641249,166,82.53012048192771,0.003105417740804837,-0.005918911033756024,0.5246603172601161,0.31601686519404004,0.033692510754768895,2.1261139522355794
49,4.210825822630891,5,0.6479418891216093,15,1.505637753848426,0.9720886646851298,0.9361489877255418,1.2671719598446516,176,79.54545454545455,0.0033925615815195327,-0.007132109333088664,0.4756743654755969,0.26627233178247667,0.06045623029051715,1.665830263538336
50,7.688057276591516,8,0.5100872865191532,18,1.8517399922443014,0.9235136640958025,1.1550863740066686,2.035709994995885,137,86.86131386861314,0.003134768840756536,-0.004321590861900622,0.7253738127764077,0.33244268838970004,0.03042900191103447,2.496846612289839
51,8.187001828665862,6,0.616129532226129,13,1.9370882651704733,0.9766353002065449,1.2206567457392778,1.8284402230787855,161,84.472049689441,0.0034433960786299928,-0.0063569460341596625,0.5416745808642345,0.36453352032649056,0.030429001911035154,2.2655386326345215
52,8.292404155432152,6,0.5621581238423624,13,1.9543506765840806,0.980109179027003,1.2358038920106833,1.5919379468798722,162,84.5679012345679,0.0034444867231017266,-0.0063569460341596625,0.541846148227851,0.3694360359683819,0.030429001911034714,2.289816589244576
53,8.15692639887708,6,0.6037467737672604,15,1.9725036122971888,0.9779526259142644,1.2911394949757034,1.5939586783289987,161,84.472049689441,0.0034433960786299928,-0.0064015421052458,0.5379010279114265,0.3632088913154259,0.030429001911035324,2.258627204679972
54,7.2835762291765755,7,0.593821991706754,15,1.9606676388648527,0.97853010452761,1.4024143535030995,1.5968609097362372,146,84.93150684931507,0.0032576480221363485,-0.005729327134487197,0.568591729127704,0.32016180794848514,0.030429001911035224,2.1763445951859666
55,8.114896564547015,6,0.6611953997007602,14,1.9006350947018822,0.9939828545587253,1.287379561523153,1.6745542091990098,160,84.375,0.003458049372062797,-0.0064015421052458,0.5401900534605667,0.36121443792652275,0.030429001911034575,2.2484392821077797
56,4.404158376024968,5,0.7280256677725122,15,1.9979668116892622,0.967842986678126,1.2456296686215804,1.7517556401920502,170,82.35294117647058,0.0033745086237007256,-0.007482518740803998,0.45098565611318925,0.27973680535310796,0.06078936262513439,1.721748177951257
57,8.089764939719739,6,0.20863699035453542,17,1.828801974005268,0.9362403601998954,1.1273428734630349,1.5859794378494017,173,84.39306358381504,0.0033482898059905256,-0.006758465930595332,0.49542157057164976,0.36184722316711504,0.03202600088394857,2.1821728271625966
58,4.511218042468435,7,0.7013804891290135,16,1.7909554296636907,0.4476701669563542,1.3522763676760865,1.511066949008741,151,78.1456953642384,0.0023000185576312238,-0.0034849328353623384,0.6599893502372434,0.1873739654815645,0.030429001911034988,1.665809975807493
59,7.7133547302116465,6,0.613307224431222,14,1.959374776302808,0.8233121730268526,1.2184610049758668,1.8882391693202465,163,83.43558282208589,0.0031779038570812997,-0.005883367749263373,0.5401504703626914,0.3414187324126283,0.03369251075476868,2.2297329793800102
60,6.4562817912604915,9,0.6333518547239118,16,1.8886214835456558,0.8879290885445611,1.2991900884973393,1.7089005496715952,115,84.34782608695653,0.003046129050151961,-0.0033778890429891854,0.9017848163113016,0.2703626164560564,0.030429001911035064,2.294385118716142
61,8.114896564547015,6,0.6631719046251616,14,1.8964569410446017,0.9921986764150762,1.2554156150421771,1.6931091113566106,160,84.375,0.003458049372062797,-0.0064015421052458,0.5401900534605667,0.36121443792652275,0.030429001911034575,2.2484392821077797
62,8.292404155432152,6,0.5455214314946303,13,1.953945964109549,0.9986799712196589,1.2918972261528483,1.6428120646010766,162,84.5679012345679,0.0034444867231017266,-0.0063569460341596625,0.541846148227851,0.3694360359683819,0.030429001911034714,2.289816589244576
63,6.705645128551258,6,0.5439384796824324,13,1.9550338221518155,0.6226335943185336,1.3280922200532508,1.6394099975095227,169,81.06508875739645,0.0027379438172174856,-0.004520793058820288,0.6056335208433448,0.29037223343411567,0.031772137164006516,2.1864901717720198
64,8.096831899131775,6,0.5682820979374601,13,1.8422553359658709,0.9176871811730943,1.159894292246846,1.7869755464909067,163,84.04907975460122,0.0034116197685318157,-0.006780139839357174,0.5031783782287405,0.3610089231105136,0.03042900191103479,2.25127361876669
65,4.6343694386060506,5,0.6054336749515291,15,1.9551533716943874,0.9528208290420938,0.8138014346070985,1.4627097304967192,174,82.18390804597702,0.003387892566310802,-0.007482518740803998,0.45277435094626606,0.2951587642031439,0.060789362625133535,1.787475816652767
66,6.449197057973345,7,0.5521350974031851,14,0.8232321550746657,0.9775223345944082,1.2831603439190846,1.5443586468976338,149,80.53691275167785,0.003318121436261688,-0.005708713254966719,0.5812380633017155,0.2802815599210413,0.030429001911035036,2.0369021141061046
67,7.949765393475809,6,0.5275741227399906,13,1.7543298594791976,0.9092362677592916,1.2171261439715497,1.6149647094113444,164,83.53658536585365,0.0034170788525782125,-0.0067394588855181495,0.5070256990395599,0.3540636939106576,0.030429001911034894,2.2189374521561076
68,4.565889318856972,5,0.5760355326725352,15,1.8707547787213685,0.9406518557029995,1.0935338914332404,1.7484802480646906,175,81.71428571428572,0.003375979371713122,-0.007294654136072131,0.462801842107753,0.29038000057721014,0.06078936262513352,1.7665942618374268
69,8.240398002018129,6,0.5015811818417653,13,1.8193795273015116,0.9756709792974131,1.139062411499494,1.6649201613680555,165,83.63636363636363,0.003423576154661478,-0.006508786760754406,0.5259929815652258,0.3674475658560137,0.03042900191103452,2.2701649742392145
70,8.3017742660342,6,0.4693763672572211,13,1.7967860929057513,0.9993509744643069,1.033809400703428,1.8585959120916924,166,83.73493975903614,0.003414176053975434,-0.006508786760754406,0.5245487645349917,0.3703424006077647,0.03042900191103499,2.2836891602163707
71,8.26557286907971,6,0.4617029023351346,13,1.809833380771164,0.9532128853508026,1.0325114600204068,1.930958853479295,166,83.73493975903614,0.0034054999268597606,-0.006508786760754406,0.5232157776920384,0.3686853964957857,0.030429001911034863,2.2752620936239367
72,8.102232842382,6,0.4582538972859458,12,1.812563153780457,0.997915115121269,1.0265158035953432,1.9253901320384972,167,83.23353293413174,0.0034175801349597924,-0.0065316596911956905,0.523233036706811,0.36117146991618565,0.03042900191103479,2.2317007645852054
73,8.186384119573908,6,0.39234781879452096,13,1.7236321519931428,0.9475119768202203,0.9720659461630583,1.672687966455241,168,83.33333333333334,0.0034041456346511883,-0.006480587168213054,0.5252835192694185,0.36501462411464125,0.030429001911034724,2.2532607652443875
74,7.868868973196845,6,0.472667401405972,12,1.7767155257291953,0.9271633634626859,1.044811634125269,1.7761859880734168,165,83.03030303030303,0.0034073237143419422,-0.0065316596911956905,0.5216627741544501,0.3501255122332636,0.030429001911034807,2.192312062899306
75,6.453625835216413,7,0.5141877367617925,14,1.6375246791889577,0.958094556010392,1.1422903601633296,2.1940941112715526,149,81.87919463087249,0.003296216811517726,-0.00627383452206973,0.5253910985255487,0.2824042389825605,0.030970225320698447,1.984615387183279
76,7.410544282646942,6,0.48698712896283713,13,1.747037117755404,0.6956086367872159,0.9061177231294185,1.8619960404771707,170,82.35294117647058,0.002955948965517427,-0.00518315398158146,0.5702992764678625,0.32504448725774426,0.030429001911034988,2.271782756349705
77,4.549663617938365,5,0.4417393127042345,13,1.8444434198799924,0.8874325059571554,1.0782913733666288,2.0763905667734566,180,81.11111111111111,0.0033192269763859883,-0.007362378595120057,0.45083622548099384,0.2896701898871632,0.06078936262513171,1.7526038875400125
