,vwap
2024-04-08 09:15:00,35069.68085931283
2024-04-08 09:30:00,35131.70074902846
2024-04-08 09:45:00,35118.21976753771
2024-04-08 10:00:00,35168.97237218165
2024-04-08 10:15:00,35224.67717490149
2024-04-08 10:30:00,35215.3394250201
2024-04-08 10:45:00,35208.67409024988
2024-04-08 11:00:00,35210.41611745382
2024-04-08 11:15:00,35223.22856166724
2024-04-08 11:30:00,35163.78770008425
2024-04-08 13:30:00,35176.48990250696
2024-04-08 13:45:00,35216.589506934506
2024-04-08 14:00:00,35343.63493326691
2024-04-08 14:15:00,35484.50048267843
2024-04-08 14:30:00,35547.662812868526
2024-04-08 14:45:00,35553.35750098309
2024-04-08 15:00:00,35577.11323003576
2024-04-08 21:00:00,35648.00946437282
2024-04-08 21:15:00,35734.780445969125
2024-04-08 21:30:00,35689.803888395436
2024-04-08 21:45:00,35699.21760218497
2024-04-08 22:00:00,35667.13010007698
2024-04-08 22:15:00,35680.46013768599
2024-04-08 22:30:00,35696.40224078427
2024-04-08 22:45:00,35653.67051951588
2024-04-08 23:00:00,35589.39197207679
2024-04-09 09:00:00,35523.80142715143
2024-04-09 09:15:00,35461.43006263048
2024-04-09 09:30:00,35507.01448726447
2024-04-09 09:45:00,35508.08202094028
2024-04-09 10:00:00,35465.96341400485
2024-04-09 10:15:00,35495.19004702194
2024-04-09 10:30:00,35522.70288510207
2024-04-09 10:45:00,35583.54938141727
2024-04-09 11:00:00,35748.12571184985
2024-04-09 11:15:00,35815.67085206257
2024-04-09 11:30:00,35758.530542986424
2024-04-09 13:30:00,35842.959061982205
2024-04-09 13:45:00,35871.359643679585
2024-04-09 14:00:00,35893.73573460555
2024-04-09 14:15:00,35814.5840047599
2024-04-09 14:30:00,35883.444721069616
2024-04-09 14:45:00,35969.363248749
2024-04-09 15:00:00,35939.14155251141
2024-04-09 21:00:00,36006.5709821482
2024-04-09 21:15:00,35989.64700391747
2024-04-09 21:30:00,35899.790245682874
2024-04-09 21:45:00,35892.20051290566
2024-04-09 22:00:00,35877.891974762664
2024-04-09 22:15:00,35857.63467148215
2024-04-09 22:30:00,35814.37737150741
2024-04-09 22:45:00,35822.90797177601
2024-04-09 23:00:00,35839.86079836234
2024-04-10 09:00:00,35870.112590196564
2024-04-10 09:15:00,35904.99750640024
2024-04-10 09:30:00,35907.63021294913
2024-04-10 09:45:00,35880.21391240935
2024-04-10 10:00:00,35826.23929653537
2024-04-10 10:15:00,35821.64781906301
2024-04-10 10:30:00,35785.09493453029
2024-04-10 10:45:00,35763.65045471304
2024-04-10 11:00:00,35896.47593131275
2024-04-10 11:15:00,35883.760633990554
2024-04-10 11:30:00,35853.8982070561
2024-04-10 13:30:00,35808.0291362668
2024-04-10 13:45:00,35742.80855768699
2024-04-10 14:00:00,35779.90438497531
2024-04-10 14:15:00,35829.35069707618
2024-04-10 14:30:00,35835.97120066301
2024-04-10 14:45:00,35822.11787430727
2024-04-10 15:00:00,35828.283139402236
2024-04-10 21:00:00,35796.55942133671
2024-04-10 21:15:00,35846.527237109774
2024-04-10 21:30:00,35769.943820921435
2024-04-10 21:45:00,35706.87264851485
2024-04-10 22:00:00,35758.67388703482
2024-04-10 22:15:00,35785.816245199625
2024-04-10 22:30:00,35866.90157812312
2024-04-10 22:45:00,35848.67577008574
2024-04-10 23:00:00,35825.49268668206
2024-04-11 09:00:00,35833.43491613513
2024-04-11 09:15:00,35860.971351076456
2024-04-11 09:30:00,35853.51505440453
2024-04-11 09:45:00,35819.278240312466
2024-04-11 10:00:00,35841.34716546633
2024-04-11 10:15:00,35873.576042278335
2024-04-11 10:30:00,35967.730723515204
2024-04-11 10:45:00,36000.443150059495
2024-04-11 11:00:00,35968.14809110666
2024-04-11 11:15:00,35938.57679285934
2024-04-11 11:30:00,35974.75891807135
2024-04-11 13:30:00,36089.88761219536
2024-04-11 13:45:00,36135.08287216189
2024-04-11 14:00:00,36165.752620629355
2024-04-11 14:15:00,36117.329078306226
2024-04-11 14:30:00,36157.02998835942
2024-04-11 14:45:00,36124.20415942598
2024-04-11 15:00:00,36125.950158856234
2024-04-11 21:00:00,36186.55097495213
2024-04-11 21:15:00,36175.59968732486
2024-04-11 21:30:00,36166.70723137856
2024-04-11 21:45:00,36138.25069731654
2024-04-11 22:00:00,36086.34534087526
2024-04-11 22:15:00,36042.963515002266
2024-04-11 22:30:00,36069.55131285771
2024-04-11 22:45:00,36028.91814493676
2024-04-11 23:00:00,36058.546365914786
2024-04-12 09:00:00,36065.04276569915
2024-04-12 09:15:00,36111.13104337416
2024-04-12 09:30:00,36124.80504834801
2024-04-12 09:45:00,36137.69107689454
2024-04-12 10:00:00,36154.991732283466
2024-04-12 10:15:00,36132.79858299595
2024-04-12 10:30:00,36168.563587187105
2024-04-12 10:45:00,36172.25223766681
2024-04-12 11:00:00,36191.18173580569
2024-04-12 11:15:00,36171.394423254605
2024-04-12 11:30:00,36200.08060904613
2024-04-12 13:30:00,36262.46409040152
2024-04-12 13:45:00,36266.89831310891
2024-04-12 14:00:00,36244.86869808215
2024-04-12 14:15:00,36314.48990388855
2024-04-12 14:30:00,36275.23780778395
2024-04-12 14:45:00,36262.1609342047
2024-04-12 15:00:00,36279.292629157484
2024-04-12 21:00:00,36326.828949194205
2024-04-12 21:15:00,36273.66830929128
2024-04-12 21:30:00,36266.66585067319
2024-04-12 21:45:00,36265.52230223022
2024-04-12 22:00:00,36116.23526104543
2024-04-12 22:15:00,36138.84267466703
2024-04-12 22:30:00,36119.47781693072
2024-04-12 22:45:00,36105.58686758316
2024-04-12 23:00:00,36103.57909532328
2024-04-15 09:00:00,36127.66740149742
2024-04-15 09:15:00,36108.46663317892
2024-04-15 09:30:00,36178.23911600846
2024-04-15 09:45:00,36105.90928986806
2024-04-15 10:00:00,36075.65166447305
2024-04-15 10:15:00,36024.27778267383
2024-04-15 10:30:00,35947.680209776845
2024-04-15 10:45:00,35931.90042808879
2024-04-15 11:00:00,35955.515665280174
2024-04-15 11:15:00,36011.6953433307
2024-04-15 11:30:00,36037.294654498044
2024-04-15 13:30:00,36080.7128136921
2024-04-15 13:45:00,36122.62471882415
2024-04-15 14:00:00,36102.598319628174
2024-04-15 14:15:00,36163.45080005631
2024-04-15 14:30:00,36158.67694580371
2024-04-15 14:45:00,36144.62270277861
2024-04-15 15:00:00,36170.007125407166
2024-04-15 21:00:00,36228.816911921516
2024-04-15 21:15:00,36156.28179982694
2024-04-15 21:30:00,36127.72418043473
2024-04-15 21:45:00,36079.60385066025
2024-04-15 22:00:00,36055.80374805896
2024-04-15 22:15:00,36085.63875619649
2024-04-15 22:30:00,36177.674253299694
2024-04-15 22:45:00,36180.72449871683
2024-04-15 23:00:00,36178.08615206707
2024-04-16 09:00:00,36151.23872217539
2024-04-16 09:15:00,36092.804098993314
2024-04-16 09:30:00,36102.977573848824
2024-04-16 09:45:00,36067.62469337694
2024-04-16 10:00:00,36100.07281865667
2024-04-16 10:15:00,36045.30359355638
2024-04-16 10:30:00,36040.19887134408
2024-04-16 10:45:00,36123.667564472686
2024-04-16 11:00:00,36131.13056321814
2024-04-16 11:15:00,36177.22791880624
2024-04-16 11:30:00,36154.58823529412
2024-04-16 13:30:00,36197.38324910235
2024-04-16 13:45:00,36184.14346038142
2024-04-16 14:00:00,36261.687545253466
2024-04-16 14:15:00,36249.14848730097
2024-04-16 14:30:00,36082.14083110185
2024-04-16 14:45:00,36018.63026699855
2024-04-16 15:00:00,36094.38527856263
2024-04-16 21:00:00,36069.82119420597
2024-04-16 21:15:00,36102.80043966781
2024-04-16 21:30:00,36105.52712722137
2024-04-16 21:45:00,36076.47151309529
2024-04-16 22:00:00,36054.62981125278
2024-04-16 22:15:00,36079.08614477563
2024-04-16 22:30:00,36137.35186973686
2024-04-16 22:45:00,36131.025675597586
2024-04-16 23:00:00,36153.33724635251
2024-04-17 09:00:00,36143.50583228247
2024-04-17 09:15:00,36129.173243141675
2024-04-17 09:30:00,36151.484701269925
2024-04-17 09:45:00,36188.422820457665
2024-04-17 10:00:00,36201.919775717055
2024-04-17 10:15:00,36222.47076023392
2024-04-17 10:30:00,36246.023401875595
2024-04-17 10:45:00,36226.22121536508
2024-04-17 11:00:00,36183.432952240866
2024-04-17 11:15:00,36179.1412056152
2024-04-17 11:30:00,36242.980973765065
2024-04-17 13:30:00,36442.85117546268
2024-04-17 13:45:00,36520.12562393474
2024-04-17 14:00:00,36552.179903374265
2024-04-17 14:15:00,36617.63115272038
2024-04-17 14:30:00,36743.07803089814
2024-04-17 14:45:00,36807.09401296397
2024-04-17 15:00:00,36807.83145169348
2024-04-17 21:00:00,36846.01917577626
2024-04-17 21:15:00,36861.81753048195
2024-04-17 21:30:00,36892.64126283629
2024-04-17 21:45:00,36856.70925880816
2024-04-17 22:00:00,36889.239141847196
2024-04-17 22:15:00,36921.202005318155
2024-04-17 22:30:00,36914.41958833517
2024-04-17 22:45:00,36916.43845578458
2024-04-17 23:00:00,36908.22568093385
2024-04-18 09:00:00,36881.11799112977
2024-04-18 09:15:00,36899.568828306736
2024-04-18 09:30:00,36845.93152391787
2024-04-18 09:45:00,36832.707967131115
2024-04-18 10:00:00,36833.54730867909
2024-04-18 10:15:00,36864.040545263895
2024-04-18 10:30:00,36901.68470596231
2024-04-18 10:45:00,36937.082495564755
2024-04-18 11:00:00,37003.51246347983
2024-04-18 11:15:00,36978.63609396498
2024-04-18 11:30:00,36943.99392194498
2024-04-18 13:30:00,36771.46776339754
2024-04-18 13:45:00,36813.3511896638
2024-04-18 14:00:00,36842.63831726246
2024-04-18 14:15:00,36807.6115277688
2024-04-18 14:30:00,36870.99514176977
2024-04-18 14:45:00,36850.33155561267
2024-04-18 15:00:00,36828.56884250879
2024-04-18 21:00:00,36787.52989218547
2024-04-18 21:15:00,36806.977505919494
2024-04-18 21:30:00,36810.79428010547
2024-04-18 21:45:00,36799.898206632075
2024-04-18 22:00:00,36833.56039196976
2024-04-18 22:15:00,36794.850908189204
2024-04-18 22:30:00,36787.20664143152
2024-04-18 22:45:00,36798.05646079548
2024-04-18 23:00:00,36800.54562558796
2024-04-19 09:00:00,36810.6742391146
2024-04-19 09:15:00,36857.90463430776
2024-04-19 09:30:00,36876.14836926925
2024-04-19 09:45:00,36909.22759894834
2024-04-19 10:00:00,36831.41343413783
2024-04-19 10:15:00,36839.14077276412
2024-04-19 10:30:00,36863.57365598104
2024-04-19 10:45:00,36883.342872512105
2024-04-19 11:00:00,36837.8951705074
